"countries"	"country codes"	"item"	"item codes"	"element"	"element codes"	2007	
"Korea, Republic of"	117	"Potatoes"	116	"Area Harvested (Ha)"	31	22500	"F "
"Kuwait"	118	"Potatoes"	116	"Area Harvested (Ha)"	31	850	"F "
"Kyrgyzstan"	113	"Potatoes"	116	"Area Harvested (Ha)"	31	87500	"  "
"Lao People's Democratic Republic"	120	"Potatoes"	116	"Area Harvested (Ha)"	31	5500	"F "
"Latvia"	119	"Potatoes"	116	"Area Harvested (Ha)"	31	40400	"  "
"Lebanon"	121	"Potatoes"	116	"Area Harvested (Ha)"	31	19000	"F "
"Lesotho"	122	"Potatoes"	116	"Area Harvested (Ha)"	31	5600	"F "
"Libyan Arab Jamahiriya"	124	"Potatoes"	116	"Area Harvested (Ha)"	31	10000	"F "
"Lithuania"	126	"Potatoes"	116	"Area Harvested (Ha)"	31	52800	"  "
"Luxembourg"	256	"Potatoes"	116	"Area Harvested (Ha)"	31	600	"  "
"Madagascar"	129	"Potatoes"	116	"Area Harvested (Ha)"	31	38000	"F "
"Malawi"	130	"Potatoes"	116	"Area Harvested (Ha)"	31	160000	"F "
"Mali"	133	"Potatoes"	116	"Area Harvested (Ha)"	31	4100	"F "
"Malta"	134	"Potatoes"	116	"Area Harvested (Ha)"	31	700	"  "
"Mauritania"	136	"Potatoes"	116	"Area Harvested (Ha)"	31	430	"F "
"Mauritius"	137	"Potatoes"	116	"Area Harvested (Ha)"	31	550	"  "
"Mexico"	138	"Potatoes"	116	"Area Harvested (Ha)"	31	62000	"F "
"Moldova"	146	"Potatoes"	116	"Area Harvested (Ha)"	31	353500	"  "
"Mongolia"	141	"Potatoes"	116	"Area Harvested (Ha)"	31	11462	"  "
"Montenegro"	273	"Potatoes"	116	"Area Harvested (Ha)"	31	10000	"F "
"Montserrat"	142	"Potatoes"	116	"Area Harvested (Ha)"	31	45	"F "
"Morocco"	143	"Potatoes"	116	"Area Harvested (Ha)"	31	60000	"F "
"Mozambique"	144	"Potatoes"	116	"Area Harvested (Ha)"	31	6200	"F "
"Myanmar"	28	"Potatoes"	116	"Area Harvested (Ha)"	31	36000	"F "
"Nepal"	149	"Potatoes"	116	"Area Harvested (Ha)"	31	153534	"  "
"Netherlands"	150	"Potatoes"	116	"Area Harvested (Ha)"	31	161000	"  "
"New Caledonia"	153	"Potatoes"	116	"Area Harvested (Ha)"	31	180	"F "
"New Zealand"	156	"Potatoes"	116	"Area Harvested (Ha)"	31	12000	"F "
"Nicaragua"	157	"Potatoes"	116	"Area Harvested (Ha)"	31	2400	"F "
"Niger"	158	"Potatoes"	116	"Area Harvested (Ha)"	31	420	"F "
"Nigeria"	159	"Potatoes"	116	"Area Harvested (Ha)"	31	270000	"F "
"Norway"	162	"Potatoes"	116	"Area Harvested (Ha)"	31	14000	"F "
"Occupied Palestinian Territory"	299	"Potatoes"	116	"Area Harvested (Ha)"	31	2200	"F "
"Oman"	221	"Potatoes"	116	"Area Harvested (Ha)"	31	200	"F "
"Pakistan"	165	"Potatoes"	116	"Area Harvested (Ha)"	31	131900	"  "
