"countries"	"country codes"	"item"	"item codes"	"element"	"element codes"	1961		1962		1963		1964		1965		1966		1967		1968		1969		1970		1971		1972		1973		1974		1975		1976		1977		1978		1979		1980		1981		1982		1983		1984		1985		1986		1987		1988		1989		1990		1991		1992		1993		1994		1995		1996		1997		1998		1999		2000		2001		2002		2003		2004		2005		2006		2007	
"World +"	5001	"Maize"	56	"Yield (Hg/Ha)"	41	19434	"F "	19808	"F "	20319	"F "	19961	"F "	21251	"F "	22095	"F "	24265	"F "	22927	"F "	24226	"F "	23519	"F "	26545	"F "	26876	"F "	27239	"F "	25572	"F "	28133	"F "	28378	"F "	29675	"F "	31563	"F "	33857	"F "	31542	"F "	34941	"F "	36099	"F "	29460	"F "	35260	"F "	37204	"F "	36281	"F "	34867	"F "	31003	"F "	36186	"F "	36805	"F "	36882	"F "	38933	"F "	36213	"F "	41208	"F "	37988	"F "	42120	"F "	41264	"F "	43912	"F "	43458	"F "	42419	"F "	44188	"F "	43583	"F "	44799	"F "	49386	"F "	48444	"F "	47657	"F "	49709	"F "
"World +"	5001	"Potatoes"	116	"Yield (Hg/Ha)"	41	122156	"F "	114360	"F "	122767	"F "	131027	"F "	126646	"F "	131204	"F "	138415	"F "	143265	"F "	134656	"F "	143477	"F "	137154	"F "	134099	"F "	152883	"F "	141281	"F "	136231	"F "	143269	"F "	146655	"F "	152178	"F "	155150	"F "	128170	"F "	142710	"F "	141660	"F "	141797	"F "	155996	"F "	152993	"F "	158331	"F "	155615	"F "	148515	"F "	153704	"F "	151288	"F "	146007	"F "	151408	"F "	165269	"F "	150403	"F "	156003	"F "	166883	"F "	161985	"F "	160095	"F "	152615	"F "	163390	"F "	158594	"F "	165830	"F "	165200	"F "	175301	"F "	169120	"F "	167223	"F "	166467	"F "
"World +"	5001	"Rice, paddy"	27	"Yield (Hg/Ha)"	41	18692	"F "	18958	"F "	20567	"F "	21024	"F "	20352	"F "	20781	"F "	21749	"F "	22328	"F "	22540	"F "	23808	"F "	23619	"F "	23244	"F "	24523	"F "	24251	"F "	25186	"F "	24513	"F "	25718	"F "	26843	"F "	26591	"F "	27481	"F "	28271	"F "	29804	"F "	31367	"F "	32261	"F "	32570	"F "	32440	"F "	32651	"F "	33295	"F "	34540	"F "	35285	"F "	35352	"F "	35864	"F "	36301	"F "	36589	"F "	36594	"F "	37853	"F "	38182	"F "	38181	"F "	38942	"F "	38847	"F "	39357	"F "	38514	"F "	39363	"F "	40333	"F "	40844	"F "	41209	"F "	41524	"F "
"World +"	5001	"Wheat"	15	"Yield (Hg/Ha)"	41	10888	"F "	12060	"F "	11320	"F "	12413	"F "	12150	"F "	14079	"F "	13392	"F "	14534	"F "	14174	"F "	14940	"F "	16245	"F "	16045	"F "	16835	"F "	16154	"F "	15700	"F "	17911	"F "	16716	"F "	19328	"F "	18521	"F "	18554	"F "	18800	"F "	19992	"F "	21258	"F "	22200	"F "	21718	"F "	23206	"F "	22900	"F "	22919	"F "	23731	"F "	25611	"F "	24486	"F "	25408	"F "	25318	"F "	24501	"F "	25083	"F "	25803	"F "	27107	"F "	26967	"F "	27545	"F "	27198	"F "	27484	"F "	26881	"F "	26965	"F "	29166	"F "	28451	"F "	27906	"F "	27918	"F "
