"countries"	"country codes"	"item"	"item codes"	"element"	"element codes"	1961		1962		1963		1964		1965		1966		1967		1968		1969		1970		1971		1972		1973		1974		1975		1976		1977		1978		1979		1980		1981		1982		1983		1984		1985		1986		1987		1988		1989		1990		1991		1992		1993		1994		1995		1996		1997		1998		1999		2000		2001		2002		2003		2004		2005		2006		2007	
"United Kingdom"	229	"Potatoes"	116	"Area Harvested (Ha)"	31	303000		316000		334000		335000		316000		283000		301000		295000		260000		283000		268000		247000		234000		226000		204000		222000		232000		214100		203500		206000		192300		192000		195000		199700		192200		178900		178700		181200		174900		177100		177000		180100		170086		163568		171000		177400		165900		164100		177600		166000		165000		158000		145000		148700		137400		140000	"  "	139000	"  "
"Afghanistan"	2	"Potatoes"	116	"Yield (Hg/Ha)"	41	86666		76666	"* "	81333	"F "	86000	"* "	88000	"F "	90666	"* "	98000	"* "	100000		101986	"* "	95364	"* "	111333	"* "	103947	"* "	110000		109638	"* "	114411		178787		105263		137362		143575	"* "	148603	"* "	154237	"* "	155113	"* "	157647	"* "	144444	"* "	140909	"* "	158666		155000	"* "	155714	"* "	152631	"* "	168421	"* "	167669	"* "	168421	"F "	168888	"F "	168888	"F "	167857	"F "	167857	"F "	167857		167857		167857		167857		167857		164285		173333	"F "	176470		150000	"F "	150000	"F "	150000	"F "
"Bangladesh"	16	"Potatoes"	116	"Yield (Hg/Ha)"	41	61490		60217		62675		58458		72385		81350		85298		93600		94964		101252		99607		98745		95370		91192		93792		94131		95032		101503		94058		95056		97809		101718		102747		104151		104186		101724		100535		103381		97859		91410		99867		107931		106786		109570		111665		112740		112551		113972		112809		120590		129162		126010		138021		144312		148805	"F "	138217	"F "	138710	"F "
"Bolivia"	19	"Potatoes"	116	"Yield (Hg/Ha)"	41	48000		48500		48690		51000		50000		49800		50500		68090		68047		68947		71958		62848		63117		63403		65323		63488		52625		46989		44726		46675		48925		56479		29259		46352		47099		48684		57386		57468		49874		51779		49405		44055		45668		47284		48392		49783		51632		44809		55814		69386		70180		61260		57103		56404		56676	"F "	55676	"F "	55678	"F "
"Colombia"	44	"Potatoes"	116	"Yield (Hg/Ha)"	41	113670		116200		83091		114340		114630		100000		101265		104938		105628		108573		98403		92000		104513		110000		120000		121264		123738		140932		132844		121598		131686		130084		136242		154224		137337		134084		142613		148136		156330		152736		156654		155654		154545		159364		161990		161254		162923		154602		161620		168870		166660		173022		164360		172567		174867	"F "	175000	"F "	172727	"F "
"Congo"	46	"Potatoes"	116	"Yield (Hg/Ha)"	41	16000		22000		20000	"F "	20000	"F "	22000	"F "	28000		36666		50000		60000		71428		80769		69230		68965		81857		51200		51200		50000		46800		48148	"F "	58133		55030		50969		36060		37545		65150		87336		86308		83913		84041		85600		81851		82642		84642		84965		89866		87235		87371		88526		89149		89979		89795	"F "	89980		89309		88541		89285	"F "	86000	"F "	86000	"F "
"Cuba"	49	"Potatoes"	116	"Yield (Hg/Ha)"	41	113000	"* "	114155		112835		110760		111316		115522		116380		163964		98071		69798		57752		145702		99316		81148		127553		142013		126042		189099		153728		172005		169531		178120		162543		156257		206220		222868		185223		182492		171806		120270		133976		180312		169582		129510		212945		265694		191461		169523		246585		274435		260495		257688		239710		263994		254222	"F "	246406	"F "	241667	"F "
"Egypt"	59	"Potatoes"	116	"Yield (Hg/Ha)"	41	169657		146313		167271		163852		180291		144606		159486		167702		163413		169727		163443		168900		179213		177408		174893		165491		157563		139338		170609		172785		178586		185000		190269		191249		198820		195753		225601		214123		224134		205591		202344		209071		207792	"F "	204487		211243		202048		218355		223301		232915		235931		238738		240382		246149		244443		250000	"F "	242857	"F "	247619	"F "
"Eritrea"	178	"Potatoes"	116	"Yield (Hg/Ha)"	41																																																																	82000	"F "	82000	"F "	80000	"F "	79591	"F "	80769	"F "	83333	"F "	80000	"F "	80000	"F "	58050		61120		43400		64000		79310	"F "	64583	"F "	64000	"F "
"Fiji"	66	"Potatoes"	116	"Yield (Hg/Ha)"	41	20000	"F "	20000	"F "	26666	"F "	24489	"F "	20833	"F "	22916	"F "	25000	"F "	24590	"F "	45700		67733		23076	"F "	23076	"F "	26024		20467	"F "	22082	"F "	21428	"F "	23333	"F "	25000	"F "	27500	"F "	26666	"F "	30000	"F "	30000	"F "	35714	"F "	33333	"F "	40000	"F "	37500	"F "	42857	"F "	43333	"F "	42307		75294		85714	"F "	84545		35714		92727		85000	"F "	85000		80000	"F "	80000	"F "	80000	"F "	80000	"F "	80000	"F "	80000	"F "	80000	"F "	80000	"F "	77777	"F "	80000	"F "	80000	"F "
"Finland"	67	"Potatoes"	116	"Yield (Hg/Ha)"	41	137393		129030		159425		119578		172957		157518		136527		140806		133900		189001		161265		150652		146069		110568		140123		179867		158728		168329		157868		180000		129485		153734		177483		180411		179619		196243		117625		190736		219040		214975		185662		192893		213516		198794		221052		220028		227138		180091		244922		243850		244266		261778		215121		226886		256989	"F "	205607	"F "	256996	"F "
"Greece"	84	"Potatoes"	116	"Yield (Hg/Ha)"	41	71209		71704		81121		93364		92767		96828		106201		111438		122232		129028		130714		131739		136787		138928		153236		156615		146356		141389		153650		166769		170322		164677		177343		178135		182857		185454		182958		181272		205000		189470		202181		204323		203690		199599		202082		202156		192448		202857		198780		207377		205089		193763		206709		207764		184293	"F "	197603	"F "	233803	"F "
"Guadeloupe"	87	"Potatoes"	116	"Yield (Hg/Ha)"	41	79411	"F "	82352	"F "	80000		80000		60000		72000		68181	"F "	72500	"F "	70000	"F "	70000	"F "	70000		86666		86666		70000		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0																															
"Iceland"	99	"Potatoes"	116	"Yield (Hg/Ha)"	41	185714		142857		126760		119718		176056		87349		130419		164823		75677		81909		82064		81466		92769		134179		90071		86474		95524		130809		76112		153409		126232		150526		50000		194589		128179		165779		180929		102889		88888		85000		100873		111999		111250		139300		91550		124588		106962		144425		128757		144537		142075		110000		88625		160000		184000	"F "	180000	"F "	185714	"F "
"Ireland"	104	"Potatoes"	116	"Yield (Hg/Ha)"	41	248733		250073		237508		206837		233583		247610		270541		273960		263352		258408		276584		242547		279169		278146		250862		249002		286602		244677		222441		211538		190000		232352		197313		243697		207878		202950		230032		246691		224291		248971		278536		290497		263425		300000		275892		301646		259340		260540		319428		337037		334265		336759		343802		415188		346779	"F "	333448	"F "	369756	"F "
"Kyrgyzstan"	113	"Potatoes"	116	"Yield (Hg/Ha)"	41																																																															133088		115902		90906		98531		114302		120636		130656		149512		151542		158220		237868		157199		159938		150369	"F "	152109	"F "	157006	"F "
"United Kingdom"	229	"Potatoes"	116	"Yield (Hg/Ha)"	41	224785		227373		215449		225343		253354		243710		251129		246542		250499		276360		288955		277854		303034		316681		234656		215720		285387		342409		318673		344902		323140		358072		301794		370455		358584		358412		378287		380739		358261		365160		354067		433870		415789		399955		374502		407440		429656		391346		401514		399759		402969		440886		408137		424781		433842	"F "	409071	"F "	405396	"F "
"Afghanistan"	2	"Potatoes"	116	"Production (tonnes)"	51	130000		115000	"* "	122000	"F "	129000	"* "	132000	"F "	136000	"* "	147000	"* "	150000		154000	"* "	144000	"* "	167000	"* "	158000	"* "	165000		182000	"* "	194500		354000		200000		250000		257000	"* "	266000	"* "	273000	"* "	273000	"* "	268000	"* "	260000	"* "	248000	"* "	238000		217000	"* "	218000	"* "	203000	"* "	224000	"* "	223000	"* "	224000	"F "	228000	"F "	228000	"F "	235000	"F "	235000	"F "	235000		235000		235000		235000		235000		230000		260000	"F "	300000		300000		300000	"  "	300000	"F "
"Bangladesh"	16	"Potatoes"	116	"Production (tonnes)"	51	343408		336296		362712		324104		401320		493800		600500		712300		799600		864700		862600		752797		758710		730067		880372		903025		735336		913846		909319		917120		998909		1095151		1131098		1147686		1159385		1102790		1069295		1275650		1089298		1065680		1236805		1379320		1384010		1438055		1468400		1491560		1507860		1553180		2762000		2933000		3216000		2994000		3385910		3907120		4855377		4160890	"  "	4300000	"F "
"Bolivia"	19	"Potatoes"	116	"Production (tonnes)"	51	516000		531000		546000		561000		575000		549000		519500		597600		627400		655000		698000		703585		729705		749460		834050		823800		659155		738345		730025		786620		866780		900000		316454		722873		768225		703000		814882		825800		638615		619759		691935		603062		616036		631999		604735		625794		659150		590530		708851		927001		902097		794193		745343		748139		761935		754851	"  "	755000	"F "
"Colombia"	44	"Potatoes"	116	"Production (tonnes)"	51	551300		871500		572500		866700		762290		760000		800000		850000		831300		913100		868900		823400		1030500		1012000		1320000		1515800		1608600		1995600		1966100		1726700		2100400		2149000		2186700		2462960		1910360		2091050		2242605		2519800		2696700		2464400		2371948		2281400		2860328		2938631		2891240		2801027		2716997		2547213		2775230		2882940		2873870		2834820		1792316		1846623		1754292		1750000	"F "	1900000	"F "
"Congo"	46	"Potatoes"	116	"Production (tonnes)"	51	80		110		600	"F "	1000	"F "	1100	"F "	1400		1100		1500		1500		1500		2100		1800		2000		2865		1280		1280		1300		1170		1300	"F "	1744		1816		1682		1190		1239		1303		1869		1847		1930		2017		2140		2210		2314		2370		2464		2696		2966		3058		3364		3878		4409		4400	"F "	4562		3751		4250		5000	"F "	4300	"F "	4300	"F "
"Cuba"	49	"Potatoes"	116	"Production (tonnes)"	51	113000	"* "	87900		85755		75317		83487		103970		104172		122957		95983		77476		76233		75882		57673		87689		120921		149356		154856		198290		200800		239380		272946		258274		206706		259387		307268		316473		249663		276750		281660		202680		237553		264501		235245		188334		281642		364958		329946		206208		344208		367853		345365		329713		304600		328700		313100		286200	"  "	290000	"F "
